File,AvgConfidence
201811121505_00000,72
201811121505_00001,22
201811121505_00002,88
201811121505_00003,96
201811121505_00004,71
201811121505_00005,75
201811121505_00006,67
201811121505_00007,73
201811121505_00008,97
201811121505_00009,38
201811121505_00010,7
201811121505_00011,19
201811121505_00012,10
201811121505_00013,71
201811121505_00014,86
201811121505_00015,67
201811121505_00016,74
201811121505_00017,48
201811121505_00018,68
201811121505_00019,84
201811121505_00020,94
201811121505_00021,84
201811121505_00022,69
201811121505_00023,60
201811121505_00024,61
201811121505_00025,30
201811121505_00026,17
201811121505_00027,87
201811121505_00028,90
201811121505_00029,85
201811121505_00030,64
201811121505_00031,77
201811121505_00032,50
201811121505_00033,32
201811121505_00034,78
201811121505_00035,88
201811121505_00036,75
201811121505_00037,40
201811121505_00038,80
201811121505_00039,76
201811121505_00040,81
201811121505_00041,65
201811121505_00042,42
201811121505_00043,87
201811121505_00044,82
201811121505_00045,72
201811121505_00046,59
201811121505_00047,88
201811121505_00048,25
201811121505_00049,21
201811121505_00050,72
201811121505_00051,89
201811121505_00052,72
201811121505_00053,73
201811121505_00054,94
201811121505_00055,73
201811121505_00056,31
201811121505_00057,92
201811121505_00058,47
201811121505_00059,68
201811121505_00060,89
201811121505_00061,69
201811121505_00062,27
201811121505_00063,77
201811121505_00064,63
201811121505_00065,47
201811121505_00066,60
201811121505_00067,68
201811121505_00068,93
201811121505_00069,87
201811121505_00070,84
201811121505_00071,89
201811121505_00072,14
201811121505_00073,82
201811121505_00075,75
201811121505_00077,77
201811121505_00078,21
201811121505_00079,19
201811121505_00080,90
201811121505_00081,71
201811121505_00082,77
201811121505_00083,68
201811121505_00084,38
201811121505_00086,74
201811121505_00087,22
201811121505_00088,47
201811121505_00089,15
201811121505_00090,67
201811121505_00092,49
201811121505_00094,36
201811121505_00095,63
201811121505_00096,91
201811121505_00097,39
201811121505_00098,69
201811121505_00099,23
201811121505_00100,16
201811121505_00101,48
201811121505_00102,94
201811121505_00103,6
201811121505_00104,95
201811121505_00105,6
201811121505_00106,44
201811121505_00107,17
201811121505_00108,24
201811121505_00111,38
201811121505_00112,54
201811121505_00113,90
201811121505_00114,71
201811121505_00117,68
201811121505_00118,46
201811121505_00119,34
201811121505_00121,68
201811121505_00122,36
201811121505_00123,17
201811121505_00124,71
201811121505_00126,35
201811121505_00127,11
201811121505_00128,55
201811121505_00129,95
201811121505_00130,96
201811121505_00132,46
201811121505_00133,95
201811121505_00135,70
201811121505_00136,26
201811121505_00137,8
201811121505_00138,13
201811121505_00139,67
201811121505_00140,44
201811121505_00141,49
201811121505_00142,27
201811121505_00144,14
201811121505_00145,7
201811121505_00146,69
201811121505_00147,48
201811121505_00149,26
201811121505_00150,33
201811121505_00151,77
201811121505_00152,71
201811121505_00153,40
201811121505_00154,28
201811121505_00155,32
201811121505_00156,6
201811121505_00161,10
201811121505_00162,49
201811121505_00163,62
201811121505_00165,77
201811121505_00166,79
201811121505_00168,30
201811121505_00170,83
201811121505_00171,47
201811121505_00173,67
201811121505_00174,14
201811121505_00175,27
201811121505_00176,78
201811121505_00177,71
201811121505_00178,16
201811121505_00179,68
201811121505_00180,92
201811121505_00181,23
201811121505_00182,12
201811121505_00183,39
201811121505_00185,75
201811121505_00186,18
201811121505_00187,86
201811121505_00188,69
201811121505_00189,86
201811121505_00190,71
201811121505_00191,61
201811121505_00192,12
201811121505_00193,92
201811121505_00194,33
201811121505_00195,63
201811121505_00196,61
201811121505_00197,22
201811121505_00198,62
201811121505_00199,41
201811121505_00200,71
201811121505_00201,53
201811121505_00202,62
201811121505_00204,34
201811121505_00205,49
201811121505_00208,6
201811121505_00210,85
201811121505_00211,18
201811121505_00212,11
201811121505_00213,69
201811121505_00214,36
201811121505_00215,91
201811121505_00216,95
201811121505_00217,47
201811121505_00219,51
201811121505_00220,28
201811121505_00221,15
201811121505_00223,51
201811121505_00224,51
201811121505_00225,58
201811121505_00226,65
201811121505_00227,79
201811121505_00228,12
201811121505_00229,71
201811121505_00230,42
201811121505_00231,16
201811121505_00232,60
201811121505_00233,75
201811121505_00234,82
201811121505_00235,51
201811121505_00236,74
201811121505_00237,88
201811121505_00238,70
201811121505_00239,82
201811121505_00240,13
201811121505_00241,73
201811121505_00242,85
201811121505_00243,65
201811121505_00244,86
201811121505_00245,78
201811121505_00246,54
201811121505_00247,75
201811121505_00248,87
201811121505_00249,31
201811121505_00250,8
201811121505_00251,7
201811121505_00253,54
201811121505_00254,67
201811121505_00255,42
201811121505_00256,78
201811121505_00257,11
201811121505_00258,66
201811121505_00259,76
201811121505_00261,65
201811121505_00262,90
201811121505_00263,34
201811121505_00264,75
201811121505_00265,80
201811121505_00266,65
201811121505_00267,73
201811121505_00268,68
201811121505_00269,91
201811121505_00270,77
201811121505_00271,51
201811121505_00272,65
201811121505_00273,82
201811121505_00274,31
201811121505_00275,51
201811121505_00276,56
201811121505_00277,86
201811121505_00278,74
201811121505_00279,84
201811121505_00280,93
201811121505_00281,73
201811121505_00282,88
201811121505_00283,86
201811121505_00284,76
201811121505_00285,88
201811121505_00286,5
201811121505_00288,39
201811121505_00289,5
201811121505_00290,51
201811121505_00291,90
201811121505_00292,20
201811121505_00293,13
201811121505_00294,6
201811121505_00296,71
201811121505_00297,55
201811121505_00298,48
201811121505_00299,13
201811121505_00300,48
201811121505_00301,39
201811121505_00302,80
201811121505_00303,74
201811121505_00304,78
201811121505_00305,27
201811121505_00306,49
201811121505_00307,81
